"arcLength", "radius", "height", "normalX", "normalY", "thickness", "thickX", "thickY"
 1340.00100,      500,      940,    2.000000,0.000000,    26.80002, 26.80002,  0.00000
 1341.00100,      500,      941,    2.000000,0.000000,    26.82002, 26.82002,  0.00000
 1342.00100,      500,      942,    2.000000,0.000000,    26.84002, 26.84002,  0.00000
 1343.00100,      500,      943,    2.000000,0.000000,    26.86002, 26.86002,  0.00000
 1344.00100,      500,      944,    2.000000,0.000000,    26.88002, 26.88002,  0.00000
 1345.00100,      500,      945,    2.000000,0.000000,    26.90002, 26.90002,  0.00000
 1346.00100,      500,      946,    2.000000,0.000000,    26.92002, 26.92002,  0.00000
 1347.00100,      500,      947,    2.000000,0.000000,    26.94002, 26.94002,  0.00000
 1348.00100,      500,      948,    2.000000,0.000000,    26.96002, 26.96002,  0.00000
 1349.00100,      500,      949,    2.000000,0.000000,    26.98002, 26.98002,  0.00000
 1350.00100,      500,      950,    2.000000,0.000000,    27.00002, 27.00002,  0.00000
 1351.00100,      500,      951,    2.000000,0.000000,    27.02002, 27.02002,  0.00000
 1352.00100,      500,      952,    2.000000,0.000000,    27.04002, 27.04002,  0.00000
 1353.00100,      500,      953,    2.000000,0.000000,    27.06002, 27.06002,  0.00000
 1354.00100,      500,      954,    2.000000,0.000000,    27.08002, 27.08002,  0.00000
 1355.00100,      500,      955,    2.000000,0.000000,    27.10002, 27.10002,  0.00000
 1356.00100,      500,      956,    2.000000,0.000000,    27.12002, 27.12002,  0.00000
 1357.00100,      500,      957,    2.000000,0.000000,    27.14002, 27.14002,  0.00000
 1358.00100,      500,      958,    2.000000,0.000000,    27.16002, 27.16002,  0.00000
 1359.00100,      500,      959,    2.000000,0.000000,    27.18002, 27.18002,  0.00000
 1360.00100,      500,      960,    2.000000,0.000000,    27.20002, 27.20002,  0.00000
 1361.00100,      500,      961,    2.000000,0.000000,    27.22002, 27.22002,  0.00000
 1362.00100,      500,      962,    2.000000,0.000000,    27.24002, 27.24002,  0.00000
 1363.00100,      500,      963,    2.000000,0.000000,    27.26002, 27.26002,  0.00000
 1364.00100,      500,      964,    2.000000,0.000000,    27.28002, 27.28002,  0.00000
 1365.00100,      500,      965,    2.000000,0.000000,    27.30002, 27.30002,  0.00000
 1366.00100,      500,      966,    2.000000,0.000000,    27.32002, 27.32002,  0.00000
 1367.00100,      500,      967,    2.000000,0.000000,    27.34002, 27.34002,  0.00000
 1368.00100,      500,      968,    2.000000,0.000000,    27.36002, 27.36002,  0.00000
 1369.00100,      500,      969,    2.000000,0.000000,    27.38002, 27.38002,  0.00000
 1370.00100,      500,      970,    2.000000,0.000000,    27.40002, 27.40002,  0.00000
 1371.00100,      500,      971,    2.000000,0.000000,    27.42002, 27.42002,  0.00000
 1372.00100,      500,      972,    2.000000,0.000000,    27.44002, 27.44002,  0.00000
 1373.00100,      500,      973,    2.000000,0.000000,    27.46002, 27.46002,  0.00000
 1374.00100,      500,      974,    2.000000,0.000000,    27.48002, 27.48002,  0.00000
 1375.00100,      500,      975,    2.000000,0.000000,    27.50002, 27.50002,  0.00000
 1376.00100,      500,      976,    2.000000,0.000000,    27.52002, 27.52002,  0.00000
 1377.00100,      500,      977,    2.000000,0.000000,    27.54002, 27.54002,  0.00000
 1378.00100,      500,      978,    2.000000,0.000000,    27.56002, 27.56002,  0.00000
 1379.00100,      500,      979,    2.000000,0.000000,    27.58002, 27.58002,  0.00000
 1380.00100,      500,      980,    2.000000,0.000000,    27.60002, 27.60002,  0.00000
 1381.00100,      500,      981,    2.000000,0.000000,    27.62002, 27.62002,  0.00000
 1382.00100,      500,      982,    2.000000,0.000000,    27.64002, 27.64002,  0.00000
 1383.00100,      500,      983,    2.000000,0.000000,    27.66002, 27.66002,  0.00000
 1384.00100,      500,      984,    2.000000,0.000000,    27.68002, 27.68002,  0.00000
 1385.00100,      500,      985,    2.000000,0.000000,    27.70002, 27.70002,  0.00000
 1386.00100,      500,      986,    2.000000,0.000000,    27.72002, 27.72002,  0.00000
 1387.00100,      500,      987,    2.000000,0.000000,    27.74002, 27.74002,  0.00000
 1388.00100,      500,      988,    2.000000,0.000000,    27.76002, 27.76002,  0.00000
 1389.00100,      500,      989,    2.000000,0.000000,    27.78002, 27.78002,  0.00000
 1390.00100,      500,      990,    2.000000,0.000000,    27.80002, 27.80002,  0.00000
 1391.00100,      500,      991,    2.000000,0.000000,    27.82002, 27.82002,  0.00000
 1392.00100,      500,      992,    2.000000,0.000000,    27.84002, 27.84002,  0.00000
 1393.00100,      500,      993,    2.000000,0.000000,    27.86002, 27.86002,  0.00000
 1394.00100,      500,      994,    2.000000,0.000000,    27.88002, 27.88002,  0.00000
 1395.00100,      500,      995,    2.000000,0.000000,    27.90002, 27.90002,  0.00000
 1396.00100,      500,      996,    2.000000,0.000000,    27.92002, 27.92002,  0.00000
 1397.00100,      500,      997,    2.000000,0.000000,    27.94002, 27.94002,  0.00000
 1398.00100,      500,      998,    2.000000,0.000000,    27.96002, 27.96002,  0.00000
 1399.00100,      500,      999,    2.000000,0.000000,    27.98002, 27.98002,  0.00000
 1400.00100,      500,     1000,    2.000000,0.000000,    28.00002, 28.00002,  0.00000
 1401.00100,      500,     1001,    2.000000,0.000000,    28.02002, 28.02002,  0.00000
 1402.00100,      500,     1002,    2.000000,0.000000,    28.04002, 28.04002,  0.00000
 1403.00100,      500,     1003,    2.000000,0.000000,    28.06002, 28.06002,  0.00000
 1404.00100,      500,     1004,    2.000000,0.000000,    28.08002, 28.08002,  0.00000
 1405.00100,      500,     1005,    2.000000,0.000000,    28.10002, 28.10002,  0.00000
 1406.00100,      500,     1006,    2.000000,0.000000,    28.12002, 28.12002,  0.00000
 1407.00100,      500,     1007,    2.000000,0.000000,    28.14002, 28.14002,  0.00000
 1408.00100,      500,     1008,    2.000000,0.000000,    28.16002, 28.16002,  0.00000
 1409.00100,      500,     1009,    2.000000,0.000000,    28.18002, 28.18002,  0.00000
 1410.00100,      500,     1010,    2.000000,0.000000,    28.20002, 28.20002,  0.00000
 1411.00100,      500,     1011,    2.000000,0.000000,    28.22002, 28.22002,  0.00000
 1412.00100,      500,     1012,    2.000000,0.000000,    28.24002, 28.24002,  0.00000
 1413.00100,      500,     1013,    2.000000,0.000000,    28.26002, 28.26002,  0.00000
 1414.00100,      500,     1014,    2.000000,0.000000,    28.28002, 28.28002,  0.00000
 1415.00100,      500,     1015,    2.000000,0.000000,    28.30002, 28.30002,  0.00000
 1416.00100,      500,     1016,    2.000000,0.000000,    28.32002, 28.32002,  0.00000
 1417.00100,      500,     1017,    2.000000,0.000000,    28.34002, 28.34002,  0.00000
 1418.00100,      500,     1018,    2.000000,0.000000,    28.36002, 28.36002,  0.00000
 1419.00100,      500,     1019,    2.000000,0.000000,    28.38002, 28.38002,  0.00000
 1420.00100,      500,     1020,    2.000000,0.000000,    28.40002, 28.40002,  0.00000
 1421.00100,      500,     1021,    2.000000,0.000000,    28.42002, 28.42002,  0.00000
 1422.00100,      500,     1022,    2.000000,0.000000,    28.44002, 28.44002,  0.00000
 1423.00100,      500,     1023,    2.000000,0.000000,    28.46002, 28.46002,  0.00000
 1424.00100,      500,     1024,    2.000000,0.000000,    28.48002, 28.48002,  0.00000
 1425.00100,      500,     1025,    2.000000,0.000000,    28.50002, 28.50002,  0.00000
 1426.00100,      500,     1026,    2.000000,0.000000,    28.52002, 28.52002,  0.00000
